"EventID";"Rate";"Loss"
1;0.0926502757;1
2;0.0314305133;2
3;0.0215917621;3
4;0.0123110793;4
5;0.0147244231;5
6;0.0149303768;6
7;0.0085472296;7
8;0.0108624432;8
9;0.0109298964;9
10;0.0095959567;10
11;0.0039569529;11
12;0.0133589967;12
13;0.0050219092;13
14;0.003227753;14
15;0.0060002088;15
16;0.0012783622;16
17;0.0024710307;17
18;0.0075287667;18
19;0.0038555405;19
20;0.0026797224;20
21;0.0012637558;21
22;0.0051191158;22
23;0.0023455493;23
24;0.003327321;24
25;0.0041699594;25
26;0.0049995616;26
27;0.007623884;27
28;0.0025877933;28
29;0.0028755804;29
30;0.0017180382;30
31;0.0019032585;31
32;0.0036870357;32
33;0.0036950418;33
34;0.0018207447;34
35;0.00194632;35
36;0.0040029848;36
37;0.0007120098;37
38;0.0045920143;38
39;0.0022753381;39
40;0.0032298503;40
41;0.0046097281;41
42;0.0013996243;42
43;0.0018062454;43
44;0.0033459585;44
45;0.0007919466;45
46;0.0017235448;46
47;0.0009294238;47
48;0.0051066033;48
49;0.0021221866;49
50;0.0014451596;50
51;0.0010319329;51
52;0.0009385505;52
53;0.0021733411;53
54;0.0022969018;54
55;0.0015120923;55
56;0.0051388574;56
57;0.0010155091;57
58;0.0023430499;58
59;0.0046406713;59
60;0.0009233498;60
61;0.000836722;61
62;0.0089071209;62
63;0.0001696421;63
64;0.0025552714;64
65;0.002239063;65
66;0.000361378;66
67;0.0037964121;67
68;0.0009862061;68
69;0.000146827;69
70;0.0025248238;70
71;0.0001938407;71
72;0.0009197329;72
73;0.0006509102;73
74;0.0010438809;74
75;0.0009351751;75
76;0.0007415435;76
77;0.0004234751;77
78;0.0010582064;78
79;0.0001449054;79
80;0.0007802032;80
81;7.75364e-05;81
82;0.0006578569;82
83;9.67148e-05;83
84;0.0021356215;84
85;0.0009952733;85
86;0.0065008925;86
87;0.0002414957;87
88;0.0019801256;88
89;0.0054936407;89
90;0.0002566057;90
91;0.0008858879;91
92;0.0034321604;92
93;0.0002187955;93
94;7.48644e-05;94
95;0.0005537526;95
96;0.0040712331;96
97;0.0006410694;97
98;0.0001275271;98
99;0.0004144554;99
100;0.0025778025;100
101;0.0001670204;101
102;0.00134396;102
103;0.0002120986;103
104;0.0034396522;104
105;0.0003627499;105
106;0.0004909558;106
107;0.000139646;107
108;0.0008904708;108
109;0.0001045078;109
110;8.06619e-05;110
111;0.0003675159;111
112;0.0011537245;112
113;0.0015475702;113
114;0.0001404021;114
115;2.5711e-05;115
116;0.0020870731;116
117;6.36303e-05;117
118;0.0003638099;118
119;0.0022202795;119
120;0.0004194189;120
121;0.0007568419;121
122;0.0002184003;122
123;0.0004601184;123
124;0.0012818112;124
125;0.0002934078;125
126;0.0010757025;126
127;0.0013246916;127
128;0.0009158243;128
129;5.21782e-05;129
130;6.42775e-05;130
131;0.0042698718;131
132;3.52912e-05;132
133;0.000197933;133
134;0.0004615815;134
135;0.0035207297;135
136;0.0004918527;136
137;0.0003038018;137
138;0.0011389717;138
139;0.0009822064;139
140;0.0001283029;140
141;0.0013405828;141
142;0.0001406543;142
143;2.54589e-05;143
144;0.000231903;144
145;0.0001053646;145
146;0.003219365;146
147;0.0003922523;147
148;0.0003150856;148
149;0.0003621913;149
150;0.0010100235;150
151;0.0010356021;151
152;0.0002767712;152
153;0.0004391582;153
154;0.000400999;154
155;0.0021692498;155
156;5.11699e-05;156
157;0.0007011627;157
158;8.51991e-05;158
159;0.0002197928;159
160;0.0005677408;160
161;0.0002418667;161
162;0.0004095694;162
163;0.0002976929;163
164;0.0025204528;164
165;0.0001168168;165
166;2.54589e-05;166
167;0.0002566057;167
168;9.47778e-05;168
169;9.1862e-05;169
170;0.0003184599;170
171;0.0042478921;171
172;0.0027043735;172
173;9.35174e-05;173
174;0.0013528074;175
175;0.0001713271;176
176;0.0001673735;177
177;5.09178e-05;178
178;0.0004973361;179
179;0.0009992611;180
180;0.0028277423;181
181;0.0002491029;182
182;0.0008133881;183
183;0.0031142401;184
184;0.0007978682;185
185;3.17606e-05;186
186;0.000125278;187
187;0.000490377;188
188;0.0001162036;189
189;2.54589e-05;190
190;0.0001691379;191
191;7.98717e-05;192
192;0.0007034353;193
193;2.54589e-05;194
194;0.0007606313;195
195;0.0001673735;196
196;2.82913e-05;197
197;0.0002548412;198
198;2.9458e-05;199
199;5.09178e-05;200
200;7.86595e-05;201
201;0.0004326088;202
